* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
8500.000000, 71.009, -124.4689
8620.000000, 72.051, -120.0260
8750.000000, 73.433, -118.3569
8850.000000, 74.488, -119.4046
9000.000000, 75.845, -123.9632
9120.000000, 76.688, -129.3320
9250.000000, 77.371, -136.4044
9380.000000, 77.785, -144.7643
9500.000000, 77.786, -153.4575
9620.000000, 77.313, -161.6215
9750.000000, 76.418, -168.2177
9880.000000, 75.373, -172.0455
10000.000000, 74.451, -173.5018
10150.000000, 73.474, -173.6254
10300.000000, 72.683, -172.8229
10440.000000, 72.057, -171.5649
10600.000000, 71.453, -169.4771
10750.000000, 71.042, -166.8213
10900.000000, 70.826, -163.9700
11060.000000, 70.792, -161.3297
11200.000000, 70.888, -159.4043
11380.000000, 71.291, -157.4716
11500.000000, 71.755, -157.4505
11720.000000, 72.716, -161.8918
11800.000000, 73.007, -165.1097
12060.000000, 73.171, 179.3228
12200.000000, 72.466, 169.8104
12410.000000, 70.351, 159.6668
12500.000000, 69.218, 157.8210
12650.000000, 67.313, 158.4100
12800.000000, 65.684, 162.9622
13150.000000, 63.610, 176.0801
13200.000000, 63.427, 177.6492
13400.000000, 62.815, -176.4373
13600.000000, 62.361, -170.9149
13800.000000, 62.055, -165.6339
14000.000000, 61.851, -160.5614
14300.000000, 61.755, -153.6088
14500.000000, 61.756, -149.2977
14750.000000, 61.847, -144.1557
15000.000000, 62.156, -138.7212
15250.000000, 62.756, -133.2839
15500.000000, 63.708, -129.0807
15750.000000, 64.942, -126.7302
16000.000000, 66.384, -126.8437
16250.000000, 67.867, -130.3481
16500.000000, 69.071, -137.5636
16750.000000, 69.566, -146.4127
17000.000000, 69.617, -150.4504
17250.000000, 70.991, -149.6187
17500.000000, 72.759, -160.1500
17750.000000, 72.761, -175.9160
18000.000000, 71.860, 174.4339
18250.000000, 71.351, 167.0106
18500.000000, 70.650, 155.8062
18750.000000, 69.116, 143.5992
19000.000000, 67.036, 132.2246
19250.000000, 64.781, 121.1271
19500.000000, 62.489, 110.8095
19750.000000, 60.309, 102.8234
20000.000000, 58.762, 98.1444
