* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L 
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
8250.000000, 71.207, -134.4761
8380.000000, 71.693, -129.5599
8500.000000, 72.352, -124.4689
8620.000000, 73.394, -120.0260
8750.000000, 74.776, -118.3569
8850.000000, 75.831, -119.4046
9000.000000, 77.188, -123.9632
9120.000000, 78.031, -129.3320
9250.000000, 78.714, -136.4044
9380.000000, 79.128, -144.7643
9500.000000, 79.129, -153.4575
9620.000000, 78.656, -161.6215
9750.000000, 77.761, -168.2177
9880.000000, 76.716, -172.0455
10000.000000, 75.794, -173.5018
10150.000000, 74.817, -173.6254
10300.000000, 74.026, -172.8229
10440.000000, 73.400, -171.5649
10600.000000, 72.796, -169.4771
10750.000000, 72.385, -166.8213
10900.000000, 72.169, -163.9700
11060.000000, 72.135, -161.3297
11200.000000, 72.231, -159.4043
11380.000000, 72.634, -157.4716
11500.000000, 73.098, -157.4505
11720.000000, 74.059, -161.8918
11800.000000, 74.350, -165.1097
12060.000000, 74.514, 179.3228
12200.000000, 73.809, 169.8104
12410.000000, 71.694, 159.6668
12500.000000, 70.561, 157.8210
12650.000000, 68.656, 158.4100
12800.000000, 67.027, 162.9622
13150.000000, 64.953, 176.0801
13200.000000, 64.770, 177.6492
13400.000000, 64.158, -176.4373
13600.000000, 63.704, -170.9149
13800.000000, 63.398, -165.6339
14000.000000, 63.194, -160.5614
14300.000000, 63.098, -153.6088
14500.000000, 63.099, -149.2977
14750.000000, 63.190, -144.1557
15000.000000, 63.499, -138.7212
15250.000000, 64.099, -133.2839
15500.000000, 65.051, -129.0807
15750.000000, 66.285, -126.7302
16000.000000, 67.727, -126.8437
16250.000000, 69.210, -130.3481
16500.000000, 70.414, -137.5636
16750.000000, 70.909, -146.4127
17000.000000, 70.960, -150.4504
17250.000000, 72.334, -149.6187
17500.000000, 74.102, -160.1500
17750.000000, 74.104, -175.9160
18000.000000, 73.203, 174.4339
18250.000000, 72.694, 167.0106
18500.000000, 71.993, 155.8062
18750.000000, 70.459, 143.5992
19000.000000, 68.379, 132.2246
19250.000000, 66.124, 121.1271
19500.000000, 63.832, 110.8095
19750.000000, 61.652, 102.8234
20000.000000, 60.105, 98.1444
